CBSA,MSA,firm_addresses,solo_addresses,lawyers_in_firms,lawyers_solo,total_addresses,pct_addresses_firms,pct_addresses_solo
10180,"Abilene, TX",45,245,166,245,290,0.15517241379310345,0.8448275862068966
10420,"Akron, OH",385,1772,1974,1772,2157,0.17848864163189615,0.8215113583681039
10500,"Albany, GA",51,190,221,190,241,0.21161825726141079,0.7883817427385892
10540,"Albany, OR",28,116,95,116,144,0.19444444444444445,0.8055555555555556
10580,"Albany-Schenectady-Troy, NY",925,3053,5592,3053,3978,0.23252890899949724,0.7674710910005028
10740,"Albuquerque, NM",828,2847,3673,2847,3675,0.2253061224489796,0.7746938775510204
10780,"Alexandria, LA",107,337,380,337,444,0.240990990990991,0.759009009009009
10900,"Allentown-Bethlehem-Easton, PA-NJ",274,1103,1173,1103,1377,0.19898329702251272,0.8010167029774873
11020,"Altoona, PA",41,105,140,105,146,0.2808219178082192,0.7191780821917808
11100,"Amarillo, TX",95,407,440,407,502,0.1892430278884462,0.8107569721115537
11180,"Ames, IA",44,141,149,141,185,0.23783783783783785,0.7621621621621621
11200,"Amherst Town-Northampton, MA",85,539,295,539,624,0.1362179487179487,0.8637820512820513
11260,"Anchorage, AK",331,1164,1583,1164,1495,0.2214046822742475,0.7785953177257525
11460,"Ann Arbor, MI",264,1372,1215,1372,1636,0.16136919315403422,0.8386308068459658
11500,"Anniston-Oxford, AL",38,148,136,148,186,0.20430107526881722,0.7956989247311828
11540,"Appleton, WI",76,268,342,268,344,0.22093023255813954,0.7790697674418605
11700,"Asheville, NC",178,1169,658,1169,1347,0.1321455085374907,0.8678544914625093
12020,"Athens-Clarke County, GA",103,532,430,532,635,0.16220472440944883,0.8377952755905512
12060,"Atlanta-Sandy Springs-Roswell, GA",4464,16320,26054,16320,20784,0.21478060046189376,0.7852193995381063
12100,"Atlantic City-Hammonton, NJ",205,777,1026,777,982,0.20875763747454176,0.7912423625254582
12220,"Auburn-Opelika, AL",57,273,183,273,330,0.17272727272727273,0.8272727272727273
12260,"Augusta-Richmond County, GA-SC",193,745,687,745,938,0.20575692963752665,0.7942430703624733
12420,"Austin-Round Rock-San Marcos, TX",2026,7756,10635,7756,9782,0.20711510938458394,0.7928848906154161
12540,"Bakersfield-Delano, CA",129,593,555,593,722,0.1786703601108033,0.8213296398891967
12580,"Baltimore-Columbia-Towson, MD",2146,10098,10275,10098,12244,0.17526951976478275,0.8247304802352172
12620,"Bangor, ME",62,256,306,256,318,0.1949685534591195,0.8050314465408805
12700,"Barnstable Town, MA",169,1089,690,1089,1258,0.1343402225755167,0.8656597774244833
12940,"Baton Rouge, LA",702,2943,3350,2943,3645,0.1925925925925926,0.8074074074074075
12980,"Battle Creek, MI",31,136,142,136,167,0.18562874251497005,0.8143712574850299
13020,"Bay City, MI",32,128,94,128,160,0.2,0.8
13140,"Beaumont-Port Arthur, TX",138,452,576,452,590,0.23389830508474577,0.7661016949152543
13220,"Beckley, WV",36,144,115,144,180,0.2,0.8
13380,"Bellingham, WA",89,452,347,452,541,0.1645101663585952,0.8354898336414048
13460,"Bend, OR",108,606,408,606,714,0.15126050420168066,0.8487394957983193
13740,"Billings, MT",113,425,526,425,538,0.2100371747211896,0.7899628252788105
13780,"Binghamton, NY",81,313,550,313,394,0.20558375634517767,0.7944162436548223
13820,"Birmingham, AL",969,3831,5387,3831,4800,0.201875,0.798125
13900,"Bismarck, ND",103,316,444,316,419,0.2458233890214797,0.7541766109785203
13980,"Blacksburg-Christiansburg-Radford, VA",50,202,149,202,252,0.1984126984126984,0.8015873015873016
14010,"Bloomington, IL",77,292,352,292,369,0.2086720867208672,0.7913279132791328
14020,"Bloomington, IN",75,451,396,451,526,0.14258555133079848,0.8574144486692015
14260,"Boise City, ID",421,1640,2154,1640,2061,0.20426977195536147,0.7957302280446386
14460,"Boston-Cambridge-Newton, MA-NH",5701,22122,35077,22122,27823,0.2049024188620925,0.7950975811379075
14500,"Boulder, CO",343,1603,1476,1603,1946,0.17625899280575538,0.8237410071942446
14540,"Bowling Green, KY",57,301,264,301,358,0.15921787709497207,0.840782122905028
14580,"Bozeman, MT",69,393,247,393,462,0.14935064935064934,0.8506493506493507
14740,"Bremerton-Silverdale-Port Orchard, WA",98,744,334,744,842,0.1163895486935867,0.8836104513064132
15180,"Brownsville-Harlingen, TX",99,410,355,410,509,0.1944990176817289,0.8055009823182712
15260,"Brunswick-St. Simons, GA",75,331,295,331,406,0.18472906403940886,0.8152709359605911
15380,"Buffalo-Cheektowaga, NY",793,2486,4679,2486,3279,0.24184202500762428,0.7581579749923757
15500,"Burlington, NC",34,233,117,233,267,0.12734082397003746,0.8726591760299626
15540,"Burlington-South Burlington, VT",182,579,816,579,761,0.23915900131406045,0.7608409986859396
15940,"Canton-Massillon, OH",126,670,599,670,796,0.15829145728643215,0.8417085427135679
15980,"Cape Coral-Fort Myers, FL",304,1389,1286,1389,1693,0.1795629060838748,0.8204370939161252
16020,"Cape Girardeau, MO-IL",34,148,125,148,182,0.18681318681318682,0.8131868131868132
16180,"Carson City, NV",59,225,282,225,284,0.20774647887323944,0.7922535211267606
16220,"Casper, WY",48,190,166,190,238,0.20168067226890757,0.7983193277310925
16300,"Cedar Rapids, IA",128,424,732,424,552,0.2318840579710145,0.7681159420289855
16540,"Chambersburg, PA",31,119,123,119,150,0.20666666666666667,0.7933333333333333
16580,"Champaign-Urbana, IL",93,424,458,424,517,0.17988394584139264,0.8201160541586073
16620,"Charleston, WV",275,912,1512,912,1187,0.2316764953664701,0.7683235046335299
16700,"Charleston-North Charleston, SC",672,2471,3056,2471,3143,0.21380846325167038,0.7861915367483296
16740,"Charlotte-Concord-Gastonia, NC-SC",1183,5921,6444,5921,7104,0.16652590090090091,0.8334740990990991
16820,"Charlottesville, VA",205,1088,883,1088,1293,0.1585460170146945,0.8414539829853055
16860,"Chattanooga, TN-GA",261,1081,1246,1081,1342,0.19448584202682564,0.8055141579731744
16940,"Cheyenne, WY",120,455,502,455,575,0.20869565217391303,0.7913043478260869
16980,"Chicago-Naperville-Elgin, IL-IN",8067,30704,54687,30704,38771,0.20806788579092622,0.7919321142090738
17020,"Chico, CA",52,312,166,312,364,0.14285714285714285,0.8571428571428571
17140,"Cincinnati, OH-KY-IN",1239,5529,7563,5529,6768,0.18306737588652483,0.8169326241134752
17300,"Clarksville, TN-KY",85,351,279,351,436,0.19495412844036697,0.805045871559633
17410,"Cleveland, OH",1685,7422,10319,7422,9107,0.18502251015702206,0.8149774898429779
17420,"Cleveland, TN",33,111,86,111,144,0.22916666666666666,0.7708333333333334
17660,"Coeur d'Alene, ID",48,317,217,317,365,0.13150684931506848,0.8684931506849315
17780,"College Station-Bryan, TX",78,386,267,386,464,0.16810344827586207,0.8318965517241379
17820,"Colorado Springs, CO",298,1387,1216,1387,1685,0.1768545994065282,0.8231454005934719
17860,"Columbia, MO",109,499,398,499,608,0.17927631578947367,0.8207236842105263
17900,"Columbia, SC",626,2328,3217,2328,2954,0.21191604603926878,0.7880839539607312
17980,"Columbus, GA-AL",114,435,421,435,549,0.20765027322404372,0.7923497267759563
18020,"Columbus, IN",34,115,132,115,149,0.22818791946308725,0.7718120805369127
18140,"Columbus, OH",1517,6020,9169,6020,7537,0.2012737163327584,0.7987262836672416
18580,"Corpus Christi, TX",190,663,716,663,853,0.2227432590855803,0.7772567409144197
18700,"Corvallis, OR",23,163,88,163,186,0.12365591397849462,0.8763440860215054
18880,"Crestview-Fort Walton Beach-Destin, FL",118,567,400,567,685,0.17226277372262774,0.8277372262773722
19100,"Dallas-Fort Worth-Arlington, TX",4654,16085,26141,16085,20739,0.22440811996721152,0.7755918800327884
