State,County,Lawyers
Alabama,Autauga,82
Alabama,Baldwin,583
Alabama,Barbour,34
Alabama,Bibb,16
Alabama,Blount,58
Alabama,Bullock,18
Alabama,Butler,27
Alabama,Calhoun,199
Alabama,Chambers,33
Alabama,Cherokee,16
Alabama,Chilton,49
Alabama,Choctaw,18
Alabama,Clarke,31
Alabama,Clay,14
Alabama,Cleburne,9
Alabama,Coffee,85
Alabama,Colbert,70
Alabama,Conecuh,11
Alabama,Coosa,9
Alabama,Covington,58
Alabama,Crenshaw,12
Alabama,Cullman,103
Alabama,Dale,40
Alabama,Dallas,77
Alabama,DeKalb,63
Alabama,Elmore,126
Alabama,Escambia,54
Alabama,Etowah,169
Alabama,Fayette,15
Alabama,Franklin,24
Alabama,Geneva,22
Alabama,Greene,8
Alabama,Hale,12
Alabama,Henry,17
Alabama,Houston,242
Alabama,Jackson,53
Alabama,Jefferson,5588
Alabama,Lamar,11
Alabama,Lauderdale,210
Alabama,Lawrence,33
Alabama,Lee,271
Alabama,Limestone,74
Alabama,Lowndes,7
Alabama,Macon,27
Alabama,Madison,991
Alabama,Marengo,21
Alabama,Marion,33
Alabama,Marshall,124
Alabama,Mobile,1292
Alabama,Monroe,31
Alabama,Montgomery,1643
Alabama,Morgan,158
Alabama,Perry,9
Alabama,Pickens,19
Alabama,Pike,53
Alabama,Randolph,17
Alabama,Russell,60
Alabama,Shelby,729
Alabama,St. Clair,106
Alabama,Sumter,17
Alabama,Talladega,96
Alabama,Tallapoosa,60
Alabama,Tuscaloosa,579
Alabama,Walker,122
Alabama,Washington,16
Alabama,Wilcox,12
Alabama,Winston,28
Alaska,Anchorage,1540
Alaska,Bethel,24
Alaska,Chugach,2
Alaska,Dillingham,5
Alaska,Fairbanks North Star,188
Alaska,Haines,2
Alaska,Juneau,204
Alaska,Kenai Peninsula,93
Alaska,Ketchikan Gateway,30
Alaska,Kodiak Island,20
Alaska,Matanuska-Susitna,120
Alaska,Nome,13
Alaska,North Slope,8
Alaska,Northwest Arctic,6
Alaska,Petersburg,3
Alaska,Prince of Wales-Hyder,1
Alaska,Sitka,22
Alaska,Skagway,1
Alaska,Southeast Fairbanks,2
Alaska,Valdez-Cordova,3
Arizona,Apache,35
Arizona,Cochise,95
Arizona,Coconino,218
Arizona,Gila,54
Arizona,Graham,18
Arizona,Greenlee,4
Arizona,La Paz,13
Arizona,Maricopa,12180
Arizona,Mohave,139
Arizona,Navajo,71
Arizona,Pima,2203
Arizona,Pinal,203
Arizona,Santa Cruz,42
Arizona,Yavapai,291
Arizona,Yuma,138
Arkansas,Arkansas,27
Arkansas,Ashley,20
Arkansas,Baxter,56
Arkansas,Benton,637
Arkansas,Boone,49
Arkansas,Bradley,7
Arkansas,Calhoun,2
