Year,Profession,Spearman Rho,p_Value,Number of MSAs
2010,"Architects, except landscape and naval",0.02289996221821082,0.8371881235577103,83
2010,Audiologists,0.08571428571428573,0.8717434402332361,6
2010,"Child, family, and school social workers",0.19593808109348207,0.0039231180479125894,215
2010,Chiropractors,-0.17857142857142855,0.5242843600465525,15
2010,"Dentists, general",0.17221908526256355,0.44344982637269703,22
2010,Dietitians and nutritionists,0.21477775098464752,0.009734739414688652,144
2010,"Educational, vocational, and school counselors",0.16964152043244343,0.007540154204230407,247
2010,Landscape architects,0.48571428571428577,0.3287230320699709,6
2010,Lawyers,-0.34005979178887696,6.481645362339478e-07,204
2010,Marriage and family therapists,-0.4523809523809524,0.260404767436885,8
2010,Medical and public health social workers,0.10115616486282487,0.14404496486623009,210
2010,Mental health and substance abuse social workers,0.2392216951429411,0.029399228058160247,83
2010,Occupational therapists,0.06358627117714788,0.3924676492963659,183
2010,Optometrists,-0.17145721925133692,0.3400537012402106,33
2010,Pharmacists,0.32752851626838814,1.117613183964955e-08,290
2010,Physical therapists,0.23696518274727182,0.0001463232069848892,252
2010,Podiatrists,-0.6785714285714287,0.0937502539598313,7
2010,Rehabilitation counselors,0.4473125564588979,2.831244589714201e-05,81
2010,Speech-language pathologists,0.14673293269118695,0.04566135603957327,186
2010,Veterinarians,-0.017767488829822705,0.8551817287492194,108
2011,"Architects, except landscape and naval",0.03454934721464254,0.7565011972214815,83
2011,Audiologists,-0.14285714285714288,0.7871720116618075,6
2011,"Child, family, and school social workers",0.21826897534352435,0.0012787068120478978,215
2011,Chiropractors,0.024999999999999998,0.9295289708192378,15
2011,"Dentists, general",0.12140033879164315,0.5904546067875798,22
2011,Dietitians and nutritionists,0.16634514910376982,0.04629977579670718,144
2011,"Educational, vocational, and school counselors",0.19373791556904726,0.002225113983772021,247
2011,Landscape architects,0.3714285714285715,0.46847813411078715,6
2011,Lawyers,-0.3455230368009272,4.159944579337569e-07,204
2011,Marriage and family therapists,-0.2380952380952381,0.5701563208157683,8
2011,Medical and public health social workers,0.15164386623603385,0.028010877024097183,210
2011,Mental health and substance abuse social workers,0.27368708282607784,0.012293941204382883,83
2011,Occupational therapists,0.05181792548150354,0.4860250608076814,183
2011,Optometrists,0.23863636363636365,0.18108540425784575,33
2011,Pharmacists,0.337126563889603,3.872027759117779e-09,290
2011,Physical therapists,0.22853213533968775,0.00025386460624066755,252
2011,Podiatrists,-0.4642857142857144,0.2939341076002517,7
2011,Rehabilitation counselors,0.3620596205962059,0.0008958751707852569,81
2011,Speech-language pathologists,0.1353962207852151,0.06538682183697318,186
2011,Veterinarians,0.037888098164184925,0.697052150827457,108
2012,"Architects, except landscape and naval",0.05591704798287226,0.6156000941446937,83
2012,Audiologists,0.4285714285714286,0.3965014577259474,6
2012,"Child, family, and school social workers",0.18152092540269024,0.007623457783750438,215
2012,Chiropractors,0.11071428571428568,0.6944626472070963,15
2012,"Dentists, general",0.2241671372106155,0.3159085603715587,22
2012,Dietitians and nutritionists,0.18461940358492082,0.026746161673822103,144
2012,"Educational, vocational, and school counselors",0.1761022115902235,0.00551428480641004,247
2012,Landscape architects,0.8285714285714287,0.04156268221574334,6
2012,Lawyers,-0.30674883914877976,8.105441327644671e-06,204
2012,Marriage and family therapists,0.261904761904762,0.530922861565801,8
2012,Medical and public health social workers,0.17031613933584497,0.013455964101307026,210
2012,Mental health and substance abuse social workers,0.34093866756223495,0.0016101397874292726,83
2012,Occupational therapists,0.06623170129941336,0.37303371798056717,183
2012,Optometrists,0.13636363636363638,0.4492356356420384,33
2012,Pharmacists,0.3053143032165293,1.1326594062924643e-07,290
2012,Physical therapists,0.22784450378422322,0.0002652965998007456,252
2012,Podiatrists,-0.7857142857142859,0.03623846267982714,7
2012,Rehabilitation counselors,0.34830623306233066,0.001440343011258349,81
2012,Speech-language pathologists,0.11537095142408234,0.1168616179424801,186
2012,Veterinarians,0.021749692760581897,0.8232041725231253,108
2013,"Architects, except landscape and naval",0.05171907140758154,0.6423981999496723,83
2013,Audiologists,0.6,0.20799999999999982,6
2013,"Child, family, and school social workers",0.16313965563041852,0.01665602869823026,215
2013,Chiropractors,0.21071428571428572,0.450957865215285,15
2013,"Dentists, general",0.2907961603613778,0.18920778524573764,22
2013,Dietitians and nutritionists,0.20038582107547626,0.016033563324798238,144
2013,"Educational, vocational, and school counselors",0.20810704058457588,0.0010012889326094536,247
2013,Landscape architects,0.5428571428571429,0.26570262390670557,6
2013,Lawyers,-0.3174194825112552,3.728070872461362e-06,204
2013,Marriage and family therapists,0.11904761904761905,0.7788857260523797,8
2013,Medical and public health social workers,0.1282277213930993,0.06362918533510722,210
2013,Mental health and substance abuse social workers,0.39131438646572353,0.0002542039325923332,83
2013,Occupational therapists,0.035667290656599286,0.631693516008093,183
2013,Optometrists,0.1607620320855615,0.3714655888832621,33
2013,Pharmacists,0.30496102499886213,1.1733763141092745e-07,290
2013,Physical therapists,0.19046569228450402,0.002394523942724674,252
2013,Podiatrists,-0.642857142857143,0.11939237342741094,7
2013,Rehabilitation counselors,0.3545618789521229,0.001163596050008794,81
2013,Speech-language pathologists,0.006917837278368587,0.925338079122972,186
2013,Veterinarians,0.045681023559785455,0.6387463982569417,108
2014,"Architects, except landscape and naval",0.010935728978632297,0.921836050992147,83
2014,Audiologists,0.6,0.20799999999999982,6
2014,"Child, family, and school social workers",0.18422027343702493,0.006755257007689414,215
2014,Chiropractors,0.3714285714285714,0.17284974708033998,15
2014,"Dentists, general",0.3551665725578769,0.10479718977207557,22
2014,Dietitians and nutritionists,0.22222490153524638,0.007428098884558307,144
2014,"Educational, vocational, and school counselors",0.20908335111821796,0.0009465525105341354,247
2014,Landscape architects,-0.14285714285714288,0.7871720116618075,6
2014,Lawyers,-0.31430691704772745,4.690528005615268e-06,204
2014,Marriage and family therapists,-0.30952380952380953,0.4556448907375822,8
2014,Medical and public health social workers,0.1196846057409789,0.08358251557477926,210
2014,Mental health and substance abuse social workers,0.2916544225683221,0.007467775555041883,83
2014,Occupational therapists,0.04362903667964253,0.5575813187612498,183
2014,Optometrists,0.2466577540106952,0.16642107693305488,33
2014,Pharmacists,0.3088269121245035,7.952249412166936e-08,290
2014,Physical therapists,0.18125352907961606,0.003889886847056395,252
2014,Podiatrists,-0.4642857142857144,0.2939341076002517,7
2014,Rehabilitation counselors,0.34830623306233066,0.001440343011258349,81
2014,Speech-language pathologists,0.025574271874082115,0.7289730135032342,186
2014,Veterinarians,0.028142178017853226,0.7724924406731153,108
2015,"Architects, except landscape and naval",-0.17698669241425632,0.10945758746403872,83
2015,Audiologists,0.5428571428571429,0.26570262390670557,6
2015,"Child, family, and school social workers",0.21986162428457584,0.001175303249643562,215
2015,Chiropractors,0.1857142857142857,0.5075409629336737,15
2015,"Dentists, general",0.17673630717108982,0.43139783214875327,22
2015,Dietitians and nutritionists,0.1904308335342818,0.022241603758171496,144
2015,"Educational, vocational, and school counselors",0.20581597581680397,0.0011413628319635913,247
2015,Landscape architects,-0.14285714285714288,0.7871720116618075,6
2015,Lawyers,-0.31374999116551583,4.8859567759685965e-06,204
2015,Marriage and family therapists,-0.19047619047619052,0.6514014957024814,8
2015,Medical and public health social workers,0.15799451234721876,0.022004153240238748,210
2015,Mental health and substance abuse social workers,0.2945720162881491,0.006866721836148738,83
2015,Occupational therapists,0.06885363389283562,0.354366971862379,183
2015,Optometrists,0.3098262032085562,0.07931818484657795,33
2015,Pharmacists,0.324414452424913,1.5640971153632085e-08,290
2015,Physical therapists,0.14594286134213383,0.020466948379979463,252
2015,Podiatrists,-0.5357142857142858,0.21521745567801273,7
2015,Rehabilitation counselors,0.3523712737127372,0.001254482782475136,81
2015,Speech-language pathologists,0.028617784595014198,0.6982063137600527,186
2015,Veterinarians,-0.018558213533777283,0.8488116957758957,108
2016,"Architects, except landscape and naval",-0.1509592376474539,0.17311339298589656,83
2016,Audiologists,0.7714285714285715,0.07239650145772594,6
2016,"Child, family, and school social workers",0.19499987925330245,0.004102178025446902,215
2016,Chiropractors,-0.03214285714285714,0.9094621170945906,15
2016,"Dentists, general",0.27724449463579903,0.2116105135266433,22
2016,Dietitians and nutritionists,0.1551603568844948,0.06331694166460455,144
2016,"Educational, vocational, and school counselors",0.19276399404976155,0.002344313786082577,247
2016,Landscape architects,-0.08571428571428573,0.8717434402332361,6
2016,Lawyers,-0.31113922440296554,5.909890607788062e-06,204
2016,Marriage and family therapists,0.3333333333333334,0.4197530864197531,8
2016,Medical and public health social workers,0.1368382179058158,0.047651408250436934,210
2016,Mental health and substance abuse social workers,0.21942823559044541,0.04624708507450418,83
2016,Occupational therapists,0.07349243771196731,0.32280373499294945,183
2016,Optometrists,0.3425802139037433,0.05098528804589558,33
2016,Pharmacists,0.3396275571770709,2.9198690333196654e-09,290
2016,Physical therapists,0.16981574923719392,0.006892549377256405,252
2016,Podiatrists,-0.642857142857143,0.11939237342741094,7
2016,Rehabilitation counselors,0.3856368563685637,0.00037746678428189227,81
2016,Speech-language pathologists,0.012048170302439752,0.8703504471782589,186
2016,Veterinarians,-0.04491887926681719,0.6443596505148479,108
2017,"Architects, except landscape and naval",-0.17035388942529697,0.1236239747486502,83
2017,Audiologists,0.5428571428571429,0.26570262390670557,6
2017,"Child, family, and school social workers",0.1801371682484484,0.00810592931890498,215
2017,Chiropractors,0.0035714285714285704,0.9899214068809781,15
2017,"Dentists, general",0.4285714285714286,0.0465837977402328,22
2017,Dietitians and nutritionists,0.11595932802829355,0.16634066679282922,144
2017,"Educational, vocational, and school counselors",0.1493333057269452,0.018862647660911145,247
2017,Landscape architects,-0.08571428571428573,0.8717434402332361,6
2017,Lawyers,-0.3326077276999951,1.170921540821359e-06,204
2017,Marriage and family therapists,0.261904761904762,0.530922861565801,8
2017,Medical and public health social workers,0.07748604600687414,0.26362728628415955,210
2017,Mental health and substance abuse social workers,0.25821753914613155,0.01842731691328354,83
2017,Occupational therapists,0.07325550429613154,0.32437040661057714,183
2017,Optometrists,0.12266042780748664,0.4964816355471343,33
2017,Pharmacists,0.31368620972572964,4.837901520975639e-08,290
2017,Physical therapists,0.1627347189446618,0.009660149512580686,252
2017,Podiatrists,-0.07142857142857144,0.8790481931481541,7
