year,x_var,y_var,slope,intercept,slope_ci_lower,slope_ci_upper,intercept_ci_lower,intercept_ci_upper,r2,n
2010,legal_per_gdp,lawyers_per_cap,0.4083266666982738,5.906080641546305e-05,0.37275212430014054,0.443901209096407,-3.307705465979827e-05,0.00015119866749072438,0.8113892289357931,216
2011,legal_per_gdp,lawyers_per_cap,0.4093652639867162,9.446848493713976e-05,0.3771006651792198,0.44162986279421257,1.0460775265959507e-05,0.00017847619460832002,0.8307203585788917,216
2012,legal_per_gdp,lawyers_per_cap,0.40233298007874235,0.00012906737398045694,0.368503629577425,0.4361623305800597,4.238345553944418e-05,0.00021575129242146972,0.81237761816692,216
2013,legal_per_gdp,lawyers_per_cap,0.4158072037683974,9.218549591567093e-05,0.3764443959993204,0.45517001153747444,-1.1264753544538013e-05,0.00019563574537587988,0.8546900308499042,216
2014,legal_per_gdp,lawyers_per_cap,0.4314600357170794,6.596673586033825e-05,0.39205265358762886,0.47086741784652997,-3.543979849543997e-05,0.00016737327021611648,0.8644611537225977,216
2015,legal_per_gdp,lawyers_per_cap,0.43139398604445695,8.143152299273782e-05,0.3862235597728835,0.4765644123160304,-3.085631419221549e-05,0.00019371936017769113,0.8494596644597198,216
2016,legal_per_gdp,lawyers_per_cap,0.4363552709471731,6.691874980294063e-05,0.3968120992977727,0.47589844259657343,-2.5100715246109424e-05,0.00015893821485199068,0.8371069811114721,216
2017,legal_per_gdp,lawyers_per_cap,0.4450967644948386,7.966089749621024e-05,0.3902526117781314,0.49994091721154577,-5.786144577352209e-05,0.00021718324076594258,0.8379275154395665,216
2018,legal_per_gdp,lawyers_per_cap,0.4625173825442208,7.329979182162649e-05,0.3988852959216465,0.5261494691667951,-8.476132893410559e-05,0.00023136091257735858,0.8346731187681307,216
2019,legal_per_gdp,lawyers_per_cap,0.4847678088128534,4.123488202464457e-05,0.42537532953689544,0.5441602880888113,-0.00010114902021306567,0.0001836187842623548,0.8448817669513583,216
2021,legal_per_gdp,lawyers_per_cap,0.5640182748914714,-0.00011533078190456353,0.5141828051498438,0.6138537446330989,-0.00022794144476536045,-2.720119043766599e-06,0.8566719920566294,216
2022,legal_per_gdp,lawyers_per_cap,0.5769321134251271,-0.00015508533677830355,0.5257246189772841,0.6281396078729701,-0.0002756727480686981,-3.4497925487909e-05,0.8525128527174479,216
2023,legal_per_gdp,lawyers_per_cap,0.5860476161729734,-0.00015552953589764943,0.5313747953012256,0.6407204370447213,-0.00028788505916053903,-2.317401263475982e-05,0.7958326330404535,216
